###################### UltraGCN ######################
Loading Configuration...
load path = ./ciao_social_uu_constraint_mat object
load path = ./ciao_social_uu_neighbor_mat object
Load Configuration OK, show them below
Loss = 62.42187, F1-score: 0.018761      Precision: 0.01267      Recall: 0.03612        NDCG: 0.02967
The time for epoch 85 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 63.34100, F1-score: 0.020559      Precision: 0.01397      Recall: 0.03889        NDCG: 0.03198
The time for epoch 90 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 68.01901, F1-score: 0.021663      Precision: 0.01467      Recall: 0.04138        NDCG: 0.03386
The time for epoch 95 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 71.03548, F1-score: 0.021734      Precision: 0.01456      Recall: 0.04288        NDCG: 0.03323
The time for epoch 100 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 70.18905, F1-score: 0.021088      Precision: 0.01395      Recall: 0.04323        NDCG: 0.03305
The time for epoch 105 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 73.09858, F1-score: 0.018813      Precision: 0.01228      Recall: 0.04015        NDCG: 0.02899
The time for epoch 110 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 75.40170, F1-score: 0.016170      Precision: 0.01049      Recall: 0.03521        NDCG: 0.02453
The time for epoch 115 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 77.40609, F1-score: 0.013821      Precision: 0.00897      Recall: 0.03011        NDCG: 0.02085
The time for epoch 120 is: train time = 00: 00: 20, test time = 00: 00: 07
Loss = 78.24855, F1-score: 0.012674      Precision: 0.00819      Recall: 0.02801        NDCG: 0.01828
The time for epoch 125 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 78.21980, F1-score: 0.011975      Precision: 0.00776      Recall: 0.02618        NDCG: 0.01732
The time for epoch 130 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 77.42480, F1-score: 0.011095      Precision: 0.00723      Recall: 0.02379        NDCG: 0.01548
The time for epoch 135 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 77.17666, F1-score: 0.011223      Precision: 0.00732      Recall: 0.02410        NDCG: 0.01570
The time for epoch 140 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 76.66939, F1-score: 0.011737      Precision: 0.00765      Recall: 0.02515        NDCG: 0.01628
The time for epoch 145 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 76.96148, F1-score: 0.011330      Precision: 0.00740      Recall: 0.02413        NDCG: 0.01577
Training end!
END
