###################### UltraGCN ######################
Loading Configuration...
Load Configuration OK, show them below
The time for epoch 50 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 86.14619, F1-score: 0.018442      Precision: 0.01243      Recall: 0.03574        NDCG: 0.02946
The time for epoch 55 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 81.31482, F1-score: 0.018329      Precision: 0.01232      Recall: 0.03579        NDCG: 0.02911
The time for epoch 60 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 74.38139, F1-score: 0.018091      Precision: 0.01216      Recall: 0.03530        NDCG: 0.02885
The time for epoch 65 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 70.14700, F1-score: 0.018629      Precision: 0.01253      Recall: 0.03631        NDCG: 0.02924
The time for epoch 70 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 67.76747, F1-score: 0.018203      Precision: 0.01222      Recall: 0.03563        NDCG: 0.02916
The time for epoch 75 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 61.23040, F1-score: 0.018196      Precision: 0.01222      Recall: 0.03558        NDCG: 0.02885
The time for epoch 80 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 63.16186, F1-score: 0.018546      Precision: 0.01256      Recall: 0.03547        NDCG: 0.02924
The time for epoch 85 is: train time = 00: 00: 18, test time = 00: 00: 08
Loss = 61.16269, F1-score: 0.020187      Precision: 0.01371      Recall: 0.03828        NDCG: 0.03143
The time for epoch 90 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 63.91728, F1-score: 0.022026      Precision: 0.01491      Recall: 0.04215        NDCG: 0.03437
The time for epoch 95 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 66.78642, F1-score: 0.021838      Precision: 0.01454      Recall: 0.04382        NDCG: 0.03450
The time for epoch 100 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 72.61438, F1-score: 0.021356      Precision: 0.01411      Recall: 0.04392        NDCG: 0.03437
The time for epoch 105 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 73.51057, F1-score: 0.019150      Precision: 0.01252      Recall: 0.04076        NDCG: 0.02921
The time for epoch 110 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 75.94501, F1-score: 0.016610      Precision: 0.01078      Recall: 0.03618        NDCG: 0.02539
The time for epoch 115 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 76.40203, F1-score: 0.014450      Precision: 0.00934      Recall: 0.03196        NDCG: 0.02215
The time for epoch 120 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 77.69752, F1-score: 0.012875      Precision: 0.00832      Recall: 0.02846        NDCG: 0.01941
The time for epoch 125 is: train time = 00: 00: 18, test time = 00: 00: 08
Loss = 78.71852, F1-score: 0.012556      Precision: 0.00810      Recall: 0.02789        NDCG: 0.01818
The time for epoch 130 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 77.83321, F1-score: 0.012045      Precision: 0.00781      Recall: 0.02632        NDCG: 0.01704
The time for epoch 135 is: train time = 00: 00: 18, test time = 00: 00: 08
Loss = 77.55994, F1-score: 0.012029      Precision: 0.00780      Recall: 0.02624        NDCG: 0.01702
The time for epoch 140 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 77.12143, F1-score: 0.012365      Precision: 0.00804      Recall: 0.02676        NDCG: 0.01722
The time for epoch 145 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 78.20690, F1-score: 0.012121      Precision: 0.00788      Recall: 0.02627        NDCG: 0.01691
Training end!
END


Loss = 72.61438, F1-score: 0.021356      Precision: 0.01411      Recall: 0.04392        NDCG: 0.03437
